N,run,prompt,prompt_tokens,gen_tokens,prefill_seconds,decode_seconds,busy_seconds
12,0,p3,153,129,0.0070789046585559845,0.8182585742324591,0.825337478891015
12,0,p4,178,129,0.006987033411860466,0.8170274794101715,0.824014512822032
12,0,p5,209,129,0.007190419360995293,0.842158293351531,0.8493487127125263
12,0,p6,241,129,0.008151084184646606,0.8401709012687206,0.8483219854533672
12,0,p7,82,129,0.007192855700850487,0.8059096336364746,0.8131024893373251
12,1,p0,86,129,0.006971510127186775,0.8147511780261993,0.8217226881533861
12,1,p1,64,129,0.007125852629542351,0.8162446729838848,0.8233705256134272
12,1,p2,108,129,0.0070114098489284515,0.815518457442522,0.8225298672914505
12,1,p3,153,129,0.007026504725217819,0.8122677747160196,0.8192942794412374
12,1,p4,178,129,0.007080545648932457,0.81318792514503,0.8202684707939625
12,1,p5,209,129,0.00699051097035408,0.7914578821510077,0.7984483931213617
12,1,p6,241,129,0.007027234882116318,0.8026685081422329,0.8096957430243492
12,1,p7,82,129,0.006954263895750046,0.8052800055593252,0.8122342694550753
12,2,p0,86,129,0.006941596046090126,0.8076810147613287,0.8146226108074188
12,2,p1,64,129,0.007245704531669617,0.8118763603270054,0.819122064858675
12,2,p2,108,129,0.0068922266364097595,0.7982850950211287,0.8051773216575384
12,2,p3,153,129,0.007018741220235825,0.8027959391474724,0.8098146803677082
12,2,p4,178,129,0.00699055939912796,0.8160683773458004,0.8230589367449284
12,2,p5,209,129,0.0071650221943855286,0.8106245528906584,0.8177895750850439
12,2,p6,241,129,0.0071136560291051865,0.8115234114229679,0.8186370674520731
12,2,p7,82,129,0.006913555786013603,0.80771604180336,0.8146295975893736
16,0,p0,86,129,0.005252853035926819,0.5994559433311224,0.6047087963670492
16,0,p1,64,129,0.0051757656037807465,0.5896703246980906,0.5948460903018713
16,0,p2,108,129,0.005061224102973938,0.5925641562789679,0.5976253803819418
16,0,p3,153,129,0.00515814870595932,0.5939584467560053,0.5991165954619646
16,0,p4,178,129,0.005237629637122154,0.5917600523680449,0.596997682005167
16,0,p5,209,129,0.00525742769241333,0.602556275203824,0.6078137028962374
16,0,p6,241,129,0.005446122959256172,0.6051864065229893,0.6106325294822454
16,0,p7,82,129,0.0051042065024375916,0.5942824818193913,0.5993866883218288
16,1,p0,86,129,0.005204858258366585,0.5981555059552193,0.6033603642135859
16,1,p1,64,129,0.005079170688986778,0.5980831980705261,0.6031623687595129
16,1,p2,108,129,0.005146652460098267,0.595597242936492,0.6007438953965902
16,1,p3,153,129,0.005148041993379593,0.6011021751910448,0.6062502171844244
16,1,p4,178,129,0.005151789635419846,0.6017416007816792,0.606893390417099
16,1,p5,209,129,0.005371009930968285,0.6040936149656773,0.6094646248966455
16,1,p6,241,129,0.005516631528735161,0.6043998524546623,0.6099164839833975
16,1,p7,82,129,0.005218982696533203,0.6118316669017076,0.6170506495982409
16,2,p0,86,129,0.005147239193320274,0.5987181179225445,0.6038653571158648
16,2,p1,64,129,0.005203558132052422,0.6005421746522188,0.6057457327842712
16,2,p2,108,129,0.00517180934548378,0.60019700974226,0.6053688190877438
16,2,p3,153,129,0.005347864702343941,0.6041753441095352,0.6095232088118792
16,2,p4,178,129,0.005209608003497124,0.6020036917179823,0.6072132997214794
16,2,p5,209,129,0.005379373207688332,0.6046880353242159,0.6100674085319042
16,2,p6,241,129,0.005458161234855652,0.6042650397866964,0.6097232010215521
16,2,p7,82,129,0.005253022536635399,0.6019038259983063,0.6071568485349417
20,0,p0,86,129,0.003436114639043808,0.39479146152734756,0.3982275761663914
20,0,p1,64,129,0.0034968778491020203,0.39483990892767906,0.3983367867767811
20,0,p2,108,129,0.003433622419834137,0.3961615953594446,0.39959521777927876
20,0,p3,153,129,0.0034831278026103973,0.3973558098077774,0.4008389376103878
20,0,p4,178,129,0.003571387380361557,0.39470334351062775,0.3982747308909893
20,0,p5,209,129,0.0036354083567857742,0.3943717647343874,0.39800717309117317
20,0,p6,241,129,0.003647133708000183,0.3917165081948042,0.3953636419028044
20,0,p7,82,129,0.003363983705639839,0.38638121262192726,0.3897451963275671
20,1,p0,86,129,0.0034104976803064346,0.38674600049853325,0.3901564981788397
20,1,p1,64,129,0.003365868702530861,0.386544531211257,0.38991039991378784
20,1,p2,108,129,0.003398960456252098,0.38734303042292595,0.39074199087917805
20,1,p3,153,129,0.0034772194921970367,0.38731728307902813,0.39079450257122517
20,1,p4,178,129,0.003475623205304146,0.38780095614492893,0.3912765793502331
20,1,p5,209,129,0.0035731717944145203,0.3949016574770212,0.39847482927143574
20,1,p6,241,129,0.0036287065595388412,0.39377387799322605,0.3974025845527649
20,1,p7,82,129,0.003362596035003662,0.3892193827778101,0.39258197881281376
20,2,p0,86,129,0.0033757835626602173,0.38801766745746136,0.3913934510201216
20,2,p1,64,129,0.003419620916247368,0.3882575463503599,0.3916771672666073
20,2,p2,108,129,0.0034075118601322174,0.38915967009961605,0.39256718195974827
20,2,p3,153,129,0.003497608006000519,0.38862038403749466,0.3921179920434952
20,2,p4,178,129,0.0034934505820274353,0.39041380025446415,0.3939072508364916
