N,run,prompt,prompt_tokens,gen_tokens,prefill_seconds,decode_seconds,busy_seconds
30,2,p4,178,129,0.010145841166377068,0.9406007938086987,0.9507466349750757
30,2,p5,209,129,0.010401897132396698,0.9406751375645399,0.9510770346969366
30,2,p6,241,129,0.0107203908264637,0.9424616377800703,0.953182028606534
30,2,p7,82,129,0.008908359333872795,0.9413619302213192,0.950270289555192
36,0,p0,86,129,0.0033273790031671524,0.36716068908572197,0.3704880680888891
36,0,p1,64,129,0.003277575597167015,0.36710862070322037,0.3703861963003874
36,0,p2,108,129,0.003402596339583397,0.3668565396219492,0.3702591359615326
36,0,p3,153,129,0.003507433459162712,0.3668314255774021,0.3703388590365648
36,0,p4,178,129,0.0035387594252824783,0.3668277282267809,0.37036648765206337
36,0,p5,209,129,0.0036269109696149826,0.36716005206108093,0.3707869630306959
36,0,p6,241,129,0.0036666523665189743,0.3667360134422779,0.3704026658087969
36,0,p7,82,129,0.0033633336424827576,0.3680971208959818,0.37146045453846455
36,1,p0,86,129,0.0033786073327064514,0.36906387843191624,0.3724424857646227
36,1,p1,64,129,0.003312947228550911,0.36802425794303417,0.3713372051715851
36,1,p2,108,129,0.003369152545928955,0.36822501197457314,0.3715941645205021
36,1,p3,153,129,0.00353107787668705,0.368324289098382,0.37185536697506905
36,1,p4,178,129,0.00353815034031868,0.3683748450130224,0.3719129953533411
36,1,p5,209,129,0.0036110281944274902,0.367922468110919,0.3715334963053465
36,1,p6,241,129,0.0036452803760766983,0.36901121959090233,0.372656499966979
36,1,p7,82,129,0.003375183790922165,0.3673130217939615,0.3706882055848837
36,2,p0,86,129,0.0033482033759355545,0.3676695991307497,0.37101780250668526
36,2,p1,64,129,0.003362443298101425,0.3688633143901825,0.3722257576882839
36,2,p2,108,129,0.003386909142136574,0.3701306339353323,0.37351754307746887
36,2,p3,153,129,0.003542916849255562,0.36965355835855007,0.37319647520780563
36,2,p4,178,129,0.0035691093653440475,0.36843774281442165,0.3720068521797657
36,2,p5,209,129,0.0036092177033424377,0.3683691509068012,0.37197836861014366
36,2,p6,241,129,0.003672601655125618,0.3704146835952997,0.37408728525042534
36,2,p7,82,129,0.0033822711557149887,0.3680378068238497,0.37142007797956467
