N,run,prompt,prompt_tokens,gen_tokens,prefill_seconds,decode_seconds,busy_seconds
0,0,p0,86,129,0.0738473255187273,7.530635436996818,7.604482762515545
0,0,p1,64,129,0.06996392086148262,7.527387335896492,7.597351256757975
0,0,p2,108,129,0.07564307935535908,7.534862766042352,7.610505845397711
0,0,p3,153,129,0.0864020362496376,7.542828215286136,7.629230251535773
0,0,p4,178,129,0.09083320759236813,7.550766158849001,7.641599366441369
0,0,p5,209,129,0.09515402093529701,7.542622955515981,7.637776976451278
0,0,p6,241,129,0.09695400670170784,7.540407629683614,7.637361636385322
0,0,p7,82,129,0.07318573258817196,7.534156268462539,7.607342001050711
0,1,p0,86,129,0.07406732626259327,7.535515401512384,7.609582727774978
0,1,p1,64,129,0.07002090103924274,7.528054840862751,7.598075741901994
0,1,p2,108,129,0.0756769198924303,7.5352911446243525,7.610968064516783
0,1,p3,153,129,0.08555606752634048,7.539811119437218,7.625367186963558
0,1,p4,178,129,0.08951354771852493,7.542940879240632,7.632454426959157
0,1,p5,209,129,0.09549206122756004,7.5424983613193035,7.6379904225468636
0,1,p6,241,129,0.09800863452255726,7.543008467182517,7.641017101705074
0,1,p7,82,129,0.07315127179026604,7.533211305737495,7.6063625775277615
0,2,p0,86,129,0.07401076145470142,7.532737515866756,7.606748277321458
0,2,p1,64,129,0.07001967541873455,7.529064532369375,7.59908420778811
0,2,p2,108,129,0.07567009143531322,7.5347561705857515,7.610426262021065
0,2,p3,153,129,0.08608189225196838,7.541239622980356,7.627321515232325
0,2,p4,178,129,0.09091395698487759,7.543608158826828,7.634522115811706
0,2,p5,209,129,0.09505503997206688,7.543396890163422,7.6384519301354885
0,2,p6,241,129,0.09869702532887459,7.543604766950011,7.642301792278886
0,2,p7,82,129,0.0731087289750576,7.5327842850238085,7.605893013998866
5,0,p0,86,129,0.0613754577934742,6.266644239425659,6.328019697219133
5,0,p1,64,129,0.05814898572862148,6.264681797474623,6.322830783203244
5,0,p2,108,129,0.06314804218709469,6.2684446051716805,6.331592647358775
5,0,p3,153,129,0.07297372445464134,6.273128675296903,6.346102399751544
5,0,p4,178,129,0.07752088829874992,6.274446504190564,6.351967392489314
5,0,p5,209,129,0.07986651360988617,6.275353197008371,6.3552197106182575
5,0,p6,241,129,0.0832340233027935,6.274491647258401,6.357725670561194
5,0,p7,82,129,0.06086718663573265,6.266239490360022,6.327106676995754
5,1,p0,86,129,0.061344387009739876,6.266513839364052,6.327858226373792
5,1,p1,64,129,0.05812126398086548,6.262650223448873,6.320771487429738
5,1,p2,108,129,0.06307250820100307,6.272405214607716,6.335477722808719
5,1,p3,153,129,0.07201094925403595,6.275766706094146,6.347777655348182
5,1,p4,178,129,0.07691281102597713,6.276076832786202,6.35298964381218
5,1,p5,209,129,0.08246052451431751,6.27658530138433,6.359045825898647
5,1,p6,241,129,0.08322540111839771,6.2760522067546844,6.359277607873082
5,1,p7,82,129,0.0612696036696434,6.269370369613171,6.330639973282814
5,2,p0,86,129,0.06137997284531593,6.268305405974388,6.329685378819704
5,2,p1,64,129,0.05812033452093601,6.268129717558622,6.326250052079558
5,2,p2,108,129,0.06299760565161705,6.273505344986916,6.336502950638533
5,2,p3,153,129,0.07160757854580879,6.287393333390355,6.359000911936164
5,2,p4,178,129,0.07612895406782627,6.2756084986031055,6.351737452670932
5,2,p5,209,129,0.0796669814735651,6.274764150381088,6.354431131854653
5,2,p6,241,129,0.08436877094209194,6.2744833789765835,6.358852149918675
5,2,p7,82,129,0.0609907116740942,6.267935635522008,6.328926347196102
9,0,p0,86,129,0.052064938470721245,5.2906870022416115,5.342751940712333
9,0,p1,64,129,0.04915577173233032,5.2882865611463785,5.337442332878709
9,0,p2,108,129,0.053558627143502235,5.293928660452366,5.347487287595868
9,0,p3,153,129,0.06219319999217987,5.296875968575478,5.3590691685676575
9,0,p4,178,129,0.06572365574538708,5.298333877697587,5.364057533442974
9,0,p5,209,129,0.06934250332415104,5.29472647421062,5.364068977534771
9,0,p6,241,129,0.07261629402637482,5.295710776001215,5.36832707002759
9,0,p7,82,129,0.05144014582037926,5.287556257098913,5.3389964029192924
9,1,p0,86,129,0.05173182487487793,5.286205571144819,5.337937396019697
9,1,p1,64,129,0.04922332428395748,5.285839628428221,5.335062952712178
9,1,p2,108,129,0.053473349660634995,5.29122375138104,5.344697101041675
9,1,p3,153,129,0.06170778535306454,5.295992072671652,5.357699858024716
9,1,p4,178,129,0.06583763659000397,5.300764959305525,5.366602595895529
9,1,p5,209,129,0.06872107833623886,5.312768982723355,5.381490061059594
9,1,p6,241,129,0.0718301348388195,5.316255679354072,5.388085814192891
9,1,p7,82,129,0.05147096514701843,5.303587801754475,5.355058766901493
9,2,p0,86,129,0.05206508934497833,5.29669052362442,5.3487556129693985
9,2,p1,64,129,0.04921266995370388,5.298235297203064,5.347447967156768
9,2,p2,108,129,0.05325953662395477,5.301420550793409,5.354680087417364
9,2,p3,153,129,0.062116313725709915,5.300117619335651,5.362233933061361
9,2,p4,178,129,0.06653218902647495,5.304648278281093,5.371180467307568
9,2,p5,209,129,0.06954886764287949,5.301672136411071,5.37122100405395
9,2,p6,241,129,0.07112396135926247,5.301386618986726,5.372510580345988
9,2,p7,82,129,0.05145549960434437,5.290926648303866,5.342382147908211
14,0,p0,86,129,0.03992132470011711,4.06635458022356,4.1062759049236774
14,0,p1,64,129,0.03769710473716259,4.068400338292122,4.1060974430292845
14,0,p2,108,129,0.041105201467871666,4.069879902526736,4.110985103994608
14,0,p3,153,129,0.04782000370323658,4.068237315863371,4.1160573195666075
14,0,p4,178,129,0.05151436850428581,4.070602474734187,4.122116843238473
